Name,Total Attendances,date
Brighton And Sussex University Hospitals NHS Trust,2717.0,2011-12-25
Dartford And Gravesham NHS Trust,1669.0,2011-12-25
Dr Jm Ribchester & Partners,231.0,2011-12-25
East Kent Hospitals University NHS Foundation Trust,3289.0,2011-12-25
East Sussex Healthcare NHS Trust,2438.0,2011-12-25
Frimley Park Hospital NHS Foundation Trust,1736.0,2011-12-25
Kent Community Health NHS Trust,1547.0,2011-12-25
Maidstone And Tunbridge Wells NHS Trust,1984.0,2011-12-25
Medway NHS Foundation Trust,1470.0,2011-12-25
Queen Victoria Hospital NHS Foundation Trust,159.0,2011-12-25
Royal Surrey County Hospital NHS Foundation Trust,1126.0,2011-12-25
Surrey And Sussex Healthcare NHS Trust,1367.0,2011-12-25
Surrey PCT,1014.0,2011-12-25
Sussex Community NHS Trust,1099.0,2011-12-25
Western Sussex Hospitals NHS Trust,2157.0,2011-12-25
Basingstoke And North Hampshire NHS Foundation Trust,725.0,2011-12-25
Berkshire Healthcare NHS Foundation Trust,944.0,2011-12-25
Buckinghamshire Healthcare NHS Trust,1887.0,2011-12-25
Heatherwood And Wexham Park Hospitals NHS Foundation Trust,1974.0,2011-12-25
Isle Of Wight NHS PCT,1195.0,2011-12-25
Milton Keynes Hospital NHS Foundation Trust,1288.0,2011-12-25
Milton Keynes Urgent Care Services Cic,978.0,2011-12-25
Oxford Health NHS Foundation Trust,420.0,2011-12-25
Oxford University Hospitals NHS Trust,2421.0,2011-12-25
Portsmouth Hospitals NHS Trust,2080.0,2011-12-25
Reading NHS Treatment Centre,634.0,2011-12-25
Royal Berkshire NHS Foundation Trust,1886.0,2011-12-25
Solent NHS Trust,868.0,2011-12-25
Southern Health NHS Foundation Trust,254.0,2011-12-25
St Mary's NHS Treatment Centre,591.0,2011-12-25
University Hospital Southampton NHS Foundation Trust,1948.0,2011-12-25
Winchester And Eastleigh Healthcare NHS Trust,925.0,2011-12-25
Wycombe GP Health Centre Eac,309.0,2011-12-25
Assura Minerva Llp,470.0,2011-12-25
Bristol Community Health,870.0,2011-12-25
Cardrew Health Centre,391.0,2011-12-25
Care And Support Partnership,153.0,2011-12-25
Carfax Health Enterprise,627.0,2011-12-25
Dorset County Hospital NHS Foundation Trust,657.0,2011-12-25
Dorset Healthcare University NHS Foundation Trust,511.0,2011-12-25
Gloucestershire Hospitals NHS Foundation Trust,1987.0,2011-12-25
Gloucestershire PCT,986.0,2011-12-25
GP Walk In Health Centre Service,129.0,2011-12-25
Great Western Hospitals NHS Foundation Trust,1870.0,2011-12-25
North Somerset Community Partnership Community Interest Company,76.0,2011-12-25
Northern Devon Healthcare NHS Trust,2366.0,2011-12-25
Peninsula Community Health C.I.C,1318.0,2011-12-25
Plymouth Community Healthcare (Cic),307.0,2011-12-25
Plymouth Hospitals NHS Trust,1475.0,2011-12-25
Poole Hospital NHS Foundation Trust,971.0,2011-12-25
Royal Cornwall Hospitals NHS Trust,1188.0,2011-12-25
Royal Devon And Exeter NHS Foundation Trust,1702.0,2011-12-25
Royal United Hospital Bath NHS Trust,1108.0,2011-12-25
Salisbury NHS Foundation Trust,697.0,2011-12-25
Sirona Care & Health,46.0,2011-12-25
Somerset Partnership NHS Foundation Trust,1273.0,2011-12-25
South Devon Healthcare NHS Foundation Trust,1345.0,2011-12-25
Taunton And Somerset NHS Foundation Trust,939.0,2011-12-25
The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,1141.0,2011-12-25
Torbay Care Trust,584.0,2011-12-25
University Hospitals Bristol NHS Foundation Trust,1948.0,2011-12-25
Weston Area Health NHS Trust,824.0,2011-12-25
Weston GP Healthcare Centre,249.0,2011-12-25
Yeovil District Hospital NHS Foundation Trust,722.0,2011-12-25
City Hospitals Sunderland NHS Foundation Trust,2346.0,2012-01-01
County Durham And Darlington NHS Foundation Trust,5286.0,2012-01-01
Encompass GP Practice 2,631.0,2012-01-01
Gateshead Health NHS Foundation Trust,1194.0,2012-01-01
North Tees And Hartlepool NHS Foundation Trust,1706.0,2012-01-01
Northumbria Healthcare NHS Foundation Trust,3121.0,2012-01-01
South Tees Hospitals NHS Foundation Trust,3014.0,2012-01-01
South Tyneside NHS Foundation Trust,3690.0,2012-01-01
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2926.0,2012-01-01
5 Boroughs Partnership NHS Foundation Trust,1295.0,2012-01-01
Aintree University Hospital NHS Foundation Trust,1694.0,2012-01-01
Alder Hey Children's NHS Foundation Trust,966.0,2012-01-01
Blackpool Teaching Hospitals NHS Foundation Trust,1981.0,2012-01-01
Bolton NHS Foundation Trust,2924.0,2012-01-01
Bridgewater Community Healthcare NHS Trust,2689.0,2012-01-01
Central Manchester University Hospitals NHS Foundation Trust,3558.0,2012-01-01
Countess Of Chester Hospital NHS Foundation Trust,1482.0,2012-01-01
Cumbria Partnership NHS Foundation Trust,1108.0,2012-01-01
East Cheshire NHS Trust,1046.0,2012-01-01
East Lancashire Hospitals NHS Trust,3405.0,2012-01-01
Lancashire Teaching Hospitals NHS Foundation Trust,2198.0,2012-01-01
Liverpool Community Health NHS Trust,2958.0,2012-01-01
Liverpool Heart And Chest NHS Foundation Trust,0.0,2012-01-01
Liverpool Women's NHS Foundation Trust,205.0,2012-01-01
Mid Cheshire Hospitals NHS Foundation Trust,1463.0,2012-01-01
North Cumbria University Hospitals NHS Trust,1285.0,2012-01-01
Oldham PCT,920.0,2012-01-01
Pennine Acute Hospitals NHS Trust,6171.0,2012-01-01
Pennine Care NHS Foundation Trust,1436.0,2012-01-01
Royal Liverpool And Broadgreen University Hospitals NHS Trust,1834.0,2012-01-01
Salford Royal NHS Foundation Trust,1548.0,2012-01-01
Southport And Ormskirk Hospital NHS Trust,1745.0,2012-01-01
St Helens And Knowsley Hospitals NHS Trust,2132.0,2012-01-01
Stockport NHS Foundation Trust,1582.0,2012-01-01
Tameside Hospital NHS Foundation Trust,1425.0,2012-01-01
The Christie NHS Foundation Trust,0.0,2012-01-01
The Walton Centre NHS Foundation Trust,0.0,2012-01-01
Trafford Health Centre,364.0,2012-01-01
Trafford Healthcare NHS Trust,945.0,2012-01-01
University Hospital Of South Manchester NHS Foundation Trust,2090.0,2012-01-01
University Hospitals Of Morecambe Bay NHS Foundation Trust,1556.0,2012-01-01
Warrington And Halton Hospitals NHS Foundation Trust,1767.0,2012-01-01
West Lancashire Healthcare Partnership Community Cic (Sdgh),256.0,2012-01-01
Wirral Community NHS Trust,1710.0,2012-01-01
Wirral University Teaching Hospital NHS Foundation Trust,1706.0,2012-01-01
"Wrightington, Wigan And Leigh NHS Foundation Trust",1804.0,2012-01-01
Airedale NHS Foundation Trust,1006.0,2012-01-01
Barnsley Hospital NHS Foundation Trust,1492.0,2012-01-01
Bradford Teaching Hospitals NHS Foundation Trust,2657.0,2012-01-01
Calderdale And Huddersfield NHS Foundation Trust,2627.0,2012-01-01
Care Uk NHS Rotherham Diagnostic Centre,1237.0,2012-01-01
City Health Care Partnership Cic,162.0,2012-01-01
Doncaster And Bassetlaw Hospitals NHS Foundation Trust,3327.0,2012-01-01
Harrogate And District NHS Foundation Trust,1121.0,2012-01-01
Hull And East Yorkshire Hospitals NHS Trust,2247.0,2012-01-01
Humber NHS Foundation Trust,200.0,2012-01-01
Lcd-Leeds-Ooh,604.0,2012-01-01
Leeds Teaching Hospitals NHS Trust,4208.0,2012-01-01
Local Care Direct Ooh,827.0,2012-01-01
Locala Community Partnerships,226.0,2012-01-01
Mid Yorkshire Hospitals NHS Trust,4089.0,2012-01-01
North East Lincolnshire Care Trust Plus,72.0,2012-01-01
Northern Lincolnshire And Goole Hospitals NHS Foundation Trust,2440.0,2012-01-01
Scarborough And North East Yorkshire Health Care NHS Trust,975.0,2012-01-01
Sheffield Children's NHS Foundation Trust,937.0,2012-01-01
Sheffield City GP Hc (Wic),1341.0,2012-01-01
Sheffield Teaching Hospitals NHS Foundation Trust,2555.0,2012-01-01
South West Yorkshire Partnership NHS Foundation Trust,0.0,2012-01-01
The Rotherham NHS Foundation Trust,1362.0,2012-01-01
York Teaching Hospital NHS Foundation Trust,2359.0,2012-01-01
Chesterfield Royal Hospital NHS Foundation Trust,1342.0,2012-01-01
Derby Hospitals NHS Foundation Trust,2374.0,2012-01-01
Derby Open Access Centre,777.0,2012-01-01
Derbyshire Community Health Services NHS Trust,773.0,2012-01-01
Derbyshire Health United Ltd,1116.0,2012-01-01
Dr GP Hanlon's Practice,1054.0,2012-01-01
Ilkeston Family Practice & Walk In Ctr,680.0,2012-01-01
Kettering General Hospital NHS Foundation Trust,1610.0,2012-01-01
Lakeside Plus Limited,650.0,2012-01-01
Latham House Medical Practice,101.0,2012-01-01
Lincolnshire Community Health Services NHS Trust,1952.0,2012-01-01
Market Harborough Med.Ctr,235.0,2012-01-01
NHS Nottingham City 8Am-8Pm Health Centre,571.0,2012-01-01
Northampton General Hospital NHS Trust,1574.0,2012-01-01
Nottingham Citycare Partnership,1181.0,2012-01-01
Nottingham University Hospitals NHS Trust,3364.0,2012-01-01
Oakham Medical Practice,26.0,2012-01-01
Sherwood Forest Hospitals NHS Foundation Trust,2053.0,2012-01-01
United Lincolnshire Hospitals NHS Trust,3142.0,2012-01-01
University Hospitals Of Leicester NHS Trust,4064.0,2012-01-01
Assura Vertis Urgent Care Centres (Birmingham),1195.0,2012-01-01
Badger Walsall Ooh,872.0,2012-01-01
Birmingham Children's Hospital NHS Foundation Trust,921.0,2012-01-01
Birmingham Coin,602.0,2012-01-01
Birmingham Community Healthcare NHS Trust,182.0,2012-01-01
Birmingham Women's NHS Foundation Trust,0.0,2012-01-01
Burton Hospitals NHS Foundation Trust,2247.0,2012-01-01
Coventry And Warwickshire Partnership NHS Trust,0.0,2012-01-01
Coventry NHS Healthcare Ctr,1318.0,2012-01-01
Dudley Borough Walk In Centre,1112.0,2012-01-01
George Eliot Hospital NHS Trust,1335.0,2012-01-01
Greet General Practice & Urgent Care Centre,669.0,2012-01-01
Heart Of England NHS Foundation Trust,4438.0,2012-01-01
Malling Health - Telford Wic,203.0,2012-01-01
Malling Health - Wrekin Wic,411.0,2012-01-01
Mid Staffordshire NHS Foundation Trust,1228.0,2012-01-01
Sandwell And West Birmingham Hospitals NHS Trust,3893.0,2012-01-01
Showell Park Health & Walk In Centre,664.0,2012-01-01
Shrewsbury And Telford Hospital NHS Trust,1934.0,2012-01-01
Shropshire Community Health NHS Trust,407.0,2012-01-01
Shropshire Walk In Health Centre,599.0,2012-01-01
Solihull PCT,1189.0,2012-01-01
South Birmingham PCT,1106.0,2012-01-01
South Warwickshire NHS Foundation Trust,1089.0,2012-01-01
Staffordshire And Stoke On Trent Partnership NHS Trust,874.0,2012-01-01
Summerfield Urgent Care Centre,711.0,2012-01-01
The Dudley Group NHS Foundation Trust,1869.0,2012-01-01
The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0.0,2012-01-01
The Royal Wolverhampton Hospitals NHS Trust,2661.0,2012-01-01
University Hospital Of North Staffordshire NHS Trust,2060.0,2012-01-01
University Hospitals Birmingham NHS Foundation Trust,1747.0,2012-01-01
University Hospitals Coventry And Warwickshire NHS Trust,3126.0,2012-01-01
Walsall Healthcare NHS Trust,1552.0,2012-01-01
Walsall Teaching PCT,893.0,2012-01-01
Worcestershire Acute Hospitals NHS Trust,2587.0,2012-01-01
Worcestershire Health And Care NHS Trust,704.0,2012-01-01
Wye Valley NHS Trust,921.0,2012-01-01
Anglian Community Enterprise Community Interest Company (Ace Cic),397.0,2012-01-01
Assura Chelmsford Llp,899.0,2012-01-01
Assura Lea Valley Llp,209.0,2012-01-01
Basildon And Thurrock University Hospitals NHS Foundation Trust,1897.0,2012-01-01
Bedford Hospital NHS Trust,1271.0,2012-01-01
Bedfordshire PCT,574.0,2012-01-01
Cambridge University Hospitals NHS Foundation Trust,1781.0,2012-01-01
Cambridgeshire Community Services NHS Trust,395.0,2012-01-01
Colchester Hospital University NHS Foundation Trust,1298.0,2012-01-01
Crown Health Centre,493.0,2012-01-01
East And North Hertfordshire NHS Trust,2254.0,2012-01-01
East Coast Community Healthcare C.I.C,86.0,2012-01-01
Greyfriars Health Centre,346.0,2012-01-01
Hertfordshire Community NHS Trust,65.0,2012-01-01
Hinchingbrooke Health Care NHS Trust,687.0,2012-01-01
Ipswich Hospital NHS Trust,1295.0,2012-01-01
James Paget University Hospitals NHS Foundation Trust,1277.0,2012-01-01
Luton And Dunstable Hospital NHS Foundation Trust,2060.0,2012-01-01
Mid Essex Hospital Services NHS Trust,1458.0,2012-01-01
Norfolk And Norwich University Hospitals NHS Foundation Trust,1788.0,2012-01-01
North Colchester Healthcare Centre,1331.0,2012-01-01
Norwich Practices Ltd (Castle Mall),1518.0,2012-01-01
Peterborough And Stamford Hospitals NHS Foundation Trust,1656.0,2012-01-01
Peterborough PCT,1358.0,2012-01-01
South Essex Partnership University NHS Foundation Trust,455.0,2012-01-01
Southend University Hospital NHS Foundation Trust,1661.0,2012-01-01
Suffolk PCT,117.0,2012-01-01
The Princess Alexandra Hospital NHS Trust,1396.0,2012-01-01
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1063.0,2012-01-01
The Riverside Clinic,326.0,2012-01-01
West Hertfordshire Hospitals NHS Trust,2288.0,2012-01-01
West Suffolk NHS Foundation Trust,1070.0,2012-01-01
Barkantine Practice,352.0,2012-01-01
"Barking, Havering And Redbridge University Hospitals NHS Trust",4732.0,2012-01-01
Barnet And Chase Farm Hospitals NHS Trust,2830.0,2012-01-01
Barts And The London NHS Trust,2562.0,2012-01-01
Brent Urgent Care Centre - Central Middlesex Hospital,985.0,2012-01-01
Broad Street Medical Practice & Walk In Centre,496.0,2012-01-01
Bromley PCT,1116.0,2012-01-01
Central London Community Healthcare NHS Trust,3156.0,2012-01-01
Chelsea And Westminster Hospital NHS Foundation Trust,2076.0,2012-01-01
Croydon Health Services NHS Trust,2419.0,2012-01-01
Dmc Vicarage Lane,0.0,2012-01-01
Ealing Hospital NHS Trust,2060.0,2012-01-01
Ealing Urgent Care Centre - Ealing Hospital NHS Trust,0.0,2012-01-01
East London NHS Foundation Trust,0.0,2012-01-01
Edridge Road Community Health Centre,628.0,2012-01-01
Epsom And St Helier University Hospitals NHS Trust,2601.0,2012-01-01
Greenwich Teaching PCT,0.0,2012-01-01
Guy's And St Thomas' NHS Foundation Trust,2742.0,2012-01-01
Harold Wood Polyclinic,100.0,2012-01-01
Harold Wood Walk In Centre,911.0,2012-01-01
Homerton University Hospital NHS Foundation Trust,2357.0,2012-01-01
Hounslow And Richmond Community Healthcare NHS Trust,941.0,2012-01-01
Hurley Group Practice,743.0,2012-01-01
Imperial College Healthcare NHS Trust,4967.0,2012-01-01
King's College Hospital NHS Foundation Trust,2679.0,2012-01-01
Kingston Hospital NHS Trust,1972.0,2012-01-01
Lewisham Healthcare NHS Trust,2061.0,2012-01-01
Moorfields Eye Hospital NHS Foundation Trust,1135.0,2012-01-01
Newham University Hospital NHS Trust,2417.0,2012-01-01
North East London NHS Foundation Trust,810.0,2012-01-01
North Middlesex University Hospital NHS Trust,2800.0,2012-01-01
North West London Hospitals NHS Trust,4140.0,2012-01-01
Orient Practice,308.0,2012-01-01
Oxleas NHS Foundation Trust,538.0,2012-01-01
Pelc,0.0,2012-01-01
Pelc Redbridge Ooh,0.0,2012-01-01
Royal Brompton And Harefield NHS Foundation Trust,0.0,2012-01-01
Royal Free London NHS Foundation Trust,1762.0,2012-01-01
Royal National Orthopaedic Hospital NHS Trust,0.0,2012-01-01
South London Healthcare NHS Trust,4751.0,2012-01-01
St Andrews Walk-In Centre,531.0,2012-01-01
St George's Healthcare NHS Trust,3377.0,2012-01-01
The Hillingdon Hospitals NHS Foundation Trust,2604.0,2012-01-01
The Practice Heart Of Hounslow,967.0,2012-01-01
The Practice Loxford,594.0,2012-01-01
The Ridgeway Surgery,909.0,2012-01-01
The Springfield Health Centre,345.0,2012-01-01
The Whittington Hospital NHS Trust,1613.0,2012-01-01
Tollgate Lodge Medical Centre,396.0,2012-01-01
University College London Hospitals NHS Foundation Trust,1845.0,2012-01-01
Waldron - Hurley Unregistered Practice,644.0,2012-01-01
West Middlesex University Hospital NHS Trust,2064.0,2012-01-01
Whipps Cross University Hospital NHS Trust,3152.0,2012-01-01
Ashford And St Peter's Hospitals NHS Foundation Trust,1867.0,2012-01-01
Ashford Health Centre,958.0,2012-01-01
Brighton And Sussex University Hospitals NHS Trust,2911.0,2012-01-01
Dartford And Gravesham NHS Trust,1968.0,2012-01-01
Dr Jm Ribchester & Partners,229.0,2012-01-01
East Kent Hospitals University NHS Foundation Trust,3718.0,2012-01-01
East Sussex Healthcare NHS Trust,2564.0,2012-01-01
Frimley Park Hospital NHS Foundation Trust,1830.0,2012-01-01
Kent Community Health NHS Trust,1693.0,2012-01-01
Maidstone And Tunbridge Wells NHS Trust,2212.0,2012-01-01
Medway NHS Foundation Trust,1624.0,2012-01-01
Queen Victoria Hospital NHS Foundation Trust,197.0,2012-01-01
Royal Surrey County Hospital NHS Foundation Trust,1224.0,2012-01-01
Surrey And Sussex Healthcare NHS Trust,1526.0,2012-01-01
Surrey PCT,1118.0,2012-01-01
Sussex Community NHS Trust,1102.0,2012-01-01
Western Sussex Hospitals NHS Trust,2607.0,2012-01-01
Berkshire Healthcare NHS Foundation Trust,1071.0,2012-01-01
Buckinghamshire Healthcare NHS Trust,1907.0,2012-01-01
Basingstoke And North Hampshire NHS Foundation Trust,821.0,2012-01-01
Heatherwood And Wexham Park Hospitals NHS Foundation Trust,2056.0,2012-01-01
Isle Of Wight NHS PCT,1485.0,2012-01-01
Milton Keynes Hospital NHS Foundation Trust,1112.0,2012-01-01
Milton Keynes Urgent Care Services Cic,1101.0,2012-01-01
Oxford Health NHS Foundation Trust,375.0,2012-01-01
Oxford University Hospitals NHS Trust,2421.0,2012-01-01
Portsmouth Hospitals NHS Trust,2319.0,2012-01-01
Reading NHS Treatment Centre,741.0,2012-01-01
Royal Berkshire NHS Foundation Trust,1755.0,2012-01-01
Solent NHS Trust,1242.0,2012-01-01
Southern Health NHS Foundation Trust,337.0,2012-01-01
St Mary's NHS Treatment Centre,789.0,2012-01-01
University Hospital Southampton NHS Foundation Trust,2116.0,2012-01-01
Winchester And Eastleigh Healthcare NHS Trust,1025.0,2012-01-01
Wycombe GP Health Centre Eac,427.0,2012-01-01
Assura Minerva Llp,599.0,2012-01-01
Bristol Community Health,930.0,2012-01-01
Cardrew Health Centre,597.0,2012-01-01
Care And Support Partnership,150.0,2012-01-01
Carfax Health Enterprise,802.0,2012-01-01
Dorset County Hospital NHS Foundation Trust,761.0,2012-01-01
Dorset Healthcare University NHS Foundation Trust,520.0,2012-01-01
Gloucestershire Hospitals NHS Foundation Trust,2189.0,2012-01-01
Gloucestershire PCT,1026.0,2012-01-01
GP Walk In Health Centre Service,194.0,2012-01-01
Great Western Hospitals NHS Foundation Trust,1899.0,2012-01-01
North Somerset Community Partnership Community Interest Company,108.0,2012-01-01
Northern Devon Healthcare NHS Trust,2615.0,2012-01-01
Peninsula Community Health C.I.C,1393.0,2012-01-01
Plymouth Community Healthcare (Cic),358.0,2012-01-01
Plymouth Hospitals NHS Trust,1737.0,2012-01-01
Poole Hospital NHS Foundation Trust,1113.0,2012-01-01
Royal Cornwall Hospitals NHS Trust,1372.0,2012-01-01
Royal Devon And Exeter NHS Foundation Trust,1741.0,2012-01-01
Royal United Hospital Bath NHS Trust,1319.0,2012-01-01
Salisbury NHS Foundation Trust,802.0,2012-01-01
Sirona Care & Health,58.0,2012-01-01
Somerset Partnership NHS Foundation Trust,1355.0,2012-01-01
South Devon Healthcare NHS Foundation Trust,1404.0,2012-01-01
Taunton And Somerset NHS Foundation Trust,1108.0,2012-01-01
The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,1209.0,2012-01-01
Torbay Care Trust,633.0,2012-01-01
University Hospitals Bristol NHS Foundation Trust,2102.0,2012-01-01
Weston Area Health NHS Trust,910.0,2012-01-01
Weston GP Healthcare Centre,268.0,2012-01-01
Yeovil District Hospital NHS Foundation Trust,827.0,2012-01-01
City Hospitals Sunderland NHS Foundation Trust,2304.0,2012-01-08
County Durham And Darlington NHS Foundation Trust,5195.0,2012-01-08
Encompass GP Practice 2,617.0,2012-01-08
Gateshead Health NHS Foundation Trust,1120.0,2012-01-08
North Tees And Hartlepool NHS Foundation Trust,1566.0,2012-01-08
Northumbria Healthcare NHS Foundation Trust,3174.0,2012-01-08
South Tees Hospitals NHS Foundation Trust,2835.0,2012-01-08
South Tyneside NHS Foundation Trust,3729.0,2012-01-08
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2965.0,2012-01-08
5 Boroughs Partnership NHS Foundation Trust,1300.0,2012-01-08
Aintree University Hospital NHS Foundation Trust,1599.0,2012-01-08
Alder Hey Children's NHS Foundation Trust,1001.0,2012-01-08
Blackpool Teaching Hospitals NHS Foundation Trust,1830.0,2012-01-08
Bolton NHS Foundation Trust,2871.0,2012-01-08
Bridgewater Community Healthcare NHS Trust,2966.0,2012-01-08
Central Manchester University Hospitals NHS Foundation Trust,3650.0,2012-01-08
Countess Of Chester Hospital NHS Foundation Trust,1334.0,2012-01-08
Cumbria Partnership NHS Foundation Trust,1004.0,2012-01-08
East Cheshire NHS Trust,1037.0,2012-01-08
East Lancashire Hospitals NHS Trust,3202.0,2012-01-08
Lancashire Teaching Hospitals NHS Foundation Trust,2159.0,2012-01-08
Liverpool Community Health NHS Trust,3181.0,2012-01-08
Liverpool Heart And Chest NHS Foundation Trust,0.0,2012-01-08
Liverpool Women's NHS Foundation Trust,204.0,2012-01-08
Mid Cheshire Hospitals NHS Foundation Trust,1484.0,2012-01-08
North Cumbria University Hospitals NHS Trust,1225.0,2012-01-08
Oldham PCT,923.0,2012-01-08
Pennine Acute Hospitals NHS Trust,5926.0,2012-01-08
Pennine Care NHS Foundation Trust,1372.0,2012-01-08
Royal Liverpool And Broadgreen University Hospitals NHS Trust,1923.0,2012-01-08
Salford Royal NHS Foundation Trust,1565.0,2012-01-08
Southport And Ormskirk Hospital NHS Trust,1706.0,2012-01-08
St Helens And Knowsley Hospitals NHS Trust,2175.0,2012-01-08
Stockport NHS Foundation Trust,1619.0,2012-01-08
Tameside Hospital NHS Foundation Trust,1343.0,2012-01-08
The Christie NHS Foundation Trust,0.0,2012-01-08
The Walton Centre NHS Foundation Trust,0.0,2012-01-08
Trafford Health Centre,330.0,2012-01-08
Trafford Healthcare NHS Trust,1029.0,2012-01-08
University Hospital Of South Manchester NHS Foundation Trust,1956.0,2012-01-08
University Hospitals Of Morecambe Bay NHS Foundation Trust,1455.0,2012-01-08
Warrington And Halton Hospitals NHS Foundation Trust,1880.0,2012-01-08
West Lancashire Healthcare Partnership Community Cic (Sdgh),293.0,2012-01-08
Wirral Community NHS Trust,1559.0,2012-01-08
Wirral University Teaching Hospital NHS Foundation Trust,1700.0,2012-01-08
"Wrightington, Wigan And Leigh NHS Foundation Trust",1700.0,2012-01-08
Airedale NHS Foundation Trust,1019.0,2012-01-08
Barnsley Hospital NHS Foundation Trust,1390.0,2012-01-08
Bradford Teaching Hospitals NHS Foundation Trust,2496.0,2012-01-08
Calderdale And Huddersfield NHS Foundation Trust,2565.0,2012-01-08
City Health Care Partnership Cic,256.0,2012-01-08
Doncaster And Bassetlaw Hospitals NHS Foundation Trust,3156.0,2012-01-08
Harrogate And District NHS Foundation Trust,1104.0,2012-01-08
Hull And East Yorkshire Hospitals NHS Trust,2114.0,2012-01-08
Humber NHS Foundation Trust,211.0,2012-01-08
Lcd-Leeds-Ooh,652.0,2012-01-08
Leeds Teaching Hospitals NHS Trust,4137.0,2012-01-08
Local Care Direct Ooh,837.0,2012-01-08
Locala Community Partnerships,236.0,2012-01-08
Mid Yorkshire Hospitals NHS Trust,3926.0,2012-01-08
North East Lincolnshire Care Trust Plus,105.0,2012-01-08
Northern Lincolnshire And Goole Hospitals NHS Foundation Trust,2420.0,2012-01-08
Rotherham Community Health Centre,1111.0,2012-01-08
Scarborough And North East Yorkshire Health Care NHS Trust,848.0,2012-01-08
Sheffield Children's NHS Foundation Trust,905.0,2012-01-08
Sheffield City GP Hc (Wic),1322.0,2012-01-08
Sheffield Teaching Hospitals NHS Foundation Trust,2633.0,2012-01-08
South West Yorkshire Partnership NHS Foundation Trust,0.0,2012-01-08
The Rotherham NHS Foundation Trust,1368.0,2012-01-08
York Teaching Hospital NHS Foundation Trust,2175.0,2012-01-08
Chesterfield Royal Hospital NHS Foundation Trust,1251.0,2012-01-08
Derby Hospitals NHS Foundation Trust,2119.0,2012-01-08
Derby Open Access Centre,689.0,2012-01-08
Derbyshire Community Health Services NHS Trust,753.0,2012-01-08
Derbyshire Health United Ltd,1062.0,2012-01-08
Dr GP Hanlon's Practice,806.0,2012-01-08
Ilkeston Family Practice & Walk In Ctr,532.0,2012-01-08
Kettering General Hospital NHS Foundation Trust,1624.0,2012-01-08
Lakeside Plus Limited,650.0,2012-01-08
Latham House Medical Practice,86.0,2012-01-08
Lincolnshire Community Health Services NHS Trust,1705.0,2012-01-08
Market Harborough Med.Ctr,209.0,2012-01-08
NHS Nottingham City 8Am-8Pm Health Centre,577.0,2012-01-08
Northampton General Hospital NHS Trust,1686.0,2012-01-08
Nottingham Citycare Partnership,1156.0,2012-01-08
Nottingham University Hospitals NHS Trust,3202.0,2012-01-08
Oakham Medical Practice,30.0,2012-01-08
Sherwood Forest Hospitals NHS Foundation Trust,2127.0,2012-01-08
United Lincolnshire Hospitals NHS Trust,3114.0,2012-01-08
University Hospitals Of Leicester NHS Trust,3803.0,2012-01-08
Assura Vertis Urgent Care Centres (Birmingham),1121.0,2012-01-08
Badger Walsall Ooh,625.0,2012-01-08
Birmingham Children's Hospital NHS Foundation Trust,819.0,2012-01-08
Birmingham Coin,678.0,2012-01-08
Birmingham Community Healthcare NHS Trust,169.0,2012-01-08
Birmingham Women's NHS Foundation Trust,0.0,2012-01-08
Burton Hospitals NHS Foundation Trust,2233.0,2012-01-08
Coventry And Warwickshire Partnership NHS Trust,0.0,2012-01-08
Coventry NHS Healthcare Ctr,1188.0,2012-01-08
Dudley Borough Walk In Centre,1059.0,2012-01-08
George Eliot Hospital NHS Trust,1311.0,2012-01-08
Greet General Practice & Urgent Care Centre,594.0,2012-01-08
Heart Of England NHS Foundation Trust,4436.0,2012-01-08
Malling Health - Telford Wic,190.0,2012-01-08
Malling Health - Wrekin Wic,357.0,2012-01-08
Mid Staffordshire NHS Foundation Trust,1278.0,2012-01-08
Sandwell And West Birmingham Hospitals NHS Trust,3886.0,2012-01-08
Showell Park Health & Walk In Centre,600.0,2012-01-08
Shrewsbury And Telford Hospital NHS Trust,1855.0,2012-01-08
Shropshire Community Health NHS Trust,433.0,2012-01-08
Shropshire Walk In Health Centre,504.0,2012-01-08
Solihull PCT,1515.0,2012-01-08
South Birmingham PCT,911.0,2012-01-08
South Warwickshire NHS Foundation Trust,1037.0,2012-01-08
Staffordshire And Stoke On Trent Partnership NHS Trust,933.0,2012-01-08
Summerfield Urgent Care Centre,721.0,2012-01-08
The Dudley Group NHS Foundation Trust,1846.0,2012-01-08
The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0.0,2012-01-08
The Royal Wolverhampton Hospitals NHS Trust,2693.0,2012-01-08
University Hospital Of North Staffordshire NHS Trust,2009.0,2012-01-08
University Hospitals Birmingham NHS Foundation Trust,1740.0,2012-01-08
University Hospitals Coventry And Warwickshire NHS Trust,3174.0,2012-01-08
Walsall Healthcare NHS Trust,1556.0,2012-01-08
Walsall Teaching PCT,923.0,2012-01-08
Worcestershire Acute Hospitals NHS Trust,2456.0,2012-01-08
Worcestershire Health And Care NHS Trust,681.0,2012-01-08
